h3_10_id,cnt_uuid
8a2f5a341b27fff,256
8a2f5a368437fff,256
8a2f5a3617b7fff,1
8a2f5a34e81ffff,1
8a2f5a34195ffff,769
8a2f5a34c0e7fff,2
8a2f5a3632f7fff,2
8a2f5a34514ffff,2
8a2f5a344a57fff,514
8a2f5a36ab57fff,4
8a2f5a3684a7fff,4
8a2f5a34534ffff,5
8a2f5a344017fff,261
8a2f5a344a5ffff,773
8a2f5a36aa47fff,6
8a2f5a363627fff,6
8a2f5a36e337fff,6
8a2f5a34c197fff,6
8a2f5a36b457fff,6
8a2f5a36ed6ffff,6
8a2f5a36aa77fff,6
8a2f5a345b67fff,7
8a2f5a36aa67fff,7
8a2f5a34e977fff,7
8a2f5a34c68ffff,7
8a2f5a341287fff,7
8a2f5a341197fff,7
8a2f5a3686dffff,8
8a2f5a3617a7fff,8
8a2f5a34c0dffff,8
8a2f5a34c0d7fff,8
8a2f5a36ad9ffff,8
8a2f5a36a297fff,8
8a2f5a34c01ffff,9
8a2f5a34492ffff,9
8a2f5a3684b7fff,9
8a2f5a36e307fff,9
8a2f5a36e06ffff,9
8a2f5a363baffff,9
8a2f5a36e76ffff,9
8a2f5a363327fff,9
8a2f5a36bd77fff,9
8a2f5a36e2a7fff,9
8a2f5a363247fff,9
8a2f5a36ab67fff,9
8a2f5a3412c7fff,9
8a2f5a36e417fff,9
8a2f5a34e867fff,9
8a2f5a36ad87fff,9
8a2f5a344b2ffff,265
8a2f5a345c5ffff,265
8a2f5a36ec27fff,10
8a2f5a36bc5ffff,10
8a2f5a3684affff,10
8a2f5a36ec2ffff,10
8a2f5a36b497fff,10
8a2f5a34c7b7fff,10
8a2f5a34e957fff,10
8a2f5a344b0ffff,10
8a2f5a3614dffff,10
8a2f5a345697fff,10
8a2f5a36a19ffff,10
8a2f5a34c867fff,10
8a2f5a36358ffff,10
8a2f5a36336ffff,10
8a2f5a36e21ffff,10
8a2f5a36a037fff,10
8a2f5a34e807fff,10
8a2f5a36a18ffff,10
8a2f5a36322ffff,10
8a2f5a3412a7fff,10
8a2f5a368d1ffff,522
8a2f5a34c497fff,11
8a2f5a36a187fff,11
8a2f5a36a4effff,11
8a2f5a343b57fff,11
8a2f5a36394ffff,11
8a2f5a36bd47fff,11
8a2f5a341c6ffff,11
8a2f5a36e407fff,11
8a2f5a36e89ffff,11
8a2f5a345b47fff,11
8a2f5a36eba7fff,267
8a2f5a34555ffff,523
8a2f5a36e397fff,12
8a2f5a340377fff,12
8a2f5a363757fff,12
8a2f5a363b17fff,12
8a2f5a36ab6ffff,12
8a2f5a363517fff,12
8a2f5a36840ffff,12
8a2f5a363777fff,12
8a2f5a34c94ffff,12
8a2f5a36e99ffff,12
8a2f5a34c81ffff,12
8a2f5a34c72ffff,12
8a2f5a341557fff,12
8a2f5a36314ffff,12
8a2f5a363a97fff,12
8a2f5a36e0f7fff,12
8a2f5a36bd6ffff,12
8a2f5a34c627fff,12
8a2f5a344217fff,524
8a2f5a36a417fff,13
8a2f5a341607fff,13
8a2f5a345cdffff,13
8a2f5a363067fff,13
8a2f5a34175ffff,13
8a2f5a344a8ffff,13
8a2f5a3632d7fff,13
8a2f5a36b5a7fff,13
8a2f5a36852ffff,13
8a2f5a36a307fff,13
8a2f5a36e887fff,13
8a2f5a36e40ffff,13
8a2f5a36b537fff,13
8a2f5a34c567fff,13
8a2f5a36160ffff,13
8a2f5a36e20ffff,13
8a2f5a36ed27fff,13
8a2f5a34520ffff,13
8a2f5a341a1ffff,13
8a2f5a36364ffff,13
8a2f5a34e827fff,13
8a2f5a36a847fff,13
8a2f5a3616d7fff,13
8a2f5a341a37fff,13
8a2f5a3614cffff,13
8a2f5a3634c7fff,269
8a2f5a34184ffff,269
8a2f5a344b77fff,14
8a2f5a341457fff,14
8a2f5a363747fff,14
8a2f5a36388ffff,14
8a2f5a3412b7fff,14
8a2f5a34c4b7fff,14
8a2f5a343baffff,14
8a2f5a34c6a7fff,14
8a2f5a36e4f7fff,14
8a2f5a340b6ffff,14
8a2f5a34c60ffff,14
8a2f5a36a85ffff,14
8a2f5a36ec57fff,14
8a2f5a34c80ffff,14
8a2f5a36e38ffff,14
8a2f5a34c8e7fff,14
8a2f5a34525ffff,14
8a2f5a34e857fff,14
8a2f5a34140ffff,14
8a2f5a36e177fff,14
8a2f5a3614c7fff,14
8a2f5a361667fff,270
8a2f5a368697fff,15
8a2f5a3408cffff,15
8a2f5a363a37fff,15
8a2f5a3417b7fff,15
8a2f5a345b6ffff,15
8a2f5a3630d7fff,15
8a2f5a36e537fff,15
8a2f5a36aa9ffff,15
8a2f5a345837fff,15
8a2f5a34c967fff,15
8a2f5a36859ffff,15
8a2f5a36aa37fff,15
8a2f5a36a257fff,15
8a2f5a3616dffff,15
8a2f5a36bd1ffff,15
8a2f5a3617affff,15
8a2f5a36e8dffff,15
8a2f5a3452a7fff,15
8a2f5a34568ffff,15
8a2f5a36e067fff,15
8a2f5a36a78ffff,15
8a2f5a34145ffff,15
8a2f5a36e167fff,15
8a2f5a36bc97fff,15
8a2f5a36a06ffff,15
8a2f5a36a547fff,15
8a2f5a36a1a7fff,15
8a2f5a34c79ffff,15
8a2f5a36a45ffff,15
8a2f5a36e767fff,15
8a2f5a36a01ffff,15
8a2f5a344aaffff,15
8a2f5a36b50ffff,15
8a2f5a36b5affff,15
8a2f5a344057fff,271
8a2f5a3443b7fff,271
8a2f5a363287fff,16
8a2f5a36e04ffff,16
8a2f5a363807fff,16
8a2f5a34c687fff,16
8a2f5a34cd97fff,16
8a2f5a36ab47fff,16
8a2f5a3412f7fff,16
8a2f5a34c46ffff,16
8a2f5a36ed2ffff,16
8a2f5a3638c7fff,16
8a2f5a34c7affff,16
8a2f5a3614effff,16
8a2f5a34c787fff,16
8a2f5a363237fff,16
8a2f5a36e057fff,16
8a2f5a3638cffff,16
8a2f5a34c62ffff,16
8a2f5a341c4ffff,16
8a2f5a36ec6ffff,16
8a2f5a36bc57fff,16
8a2f5a34176ffff,16
8a2f5a345b07fff,16
8a2f5a34e9a7fff,16
8a2f5a34e8f7fff,16
8a2f5a36e0effff,16
8a2f5a363677fff,16
8a2f5a34592ffff,16
8a2f5a34539ffff,16
8a2f5a36e8f7fff,16
8a2f5a36a007fff,16
8a2f5a363857fff,16
8a2f5a36ad97fff,16
8a2f5a36e61ffff,272
8a2f5a34086ffff,17
8a2f5a341c07fff,17
8a2f5a361787fff,17
8a2f5a363b6ffff,17
8a2f5a36374ffff,17
8a2f5a36e50ffff,17
8a2f5a341a6ffff,17
8a2f5a34c55ffff,17
8a2f5a34c6e7fff,17
8a2f5a3633a7fff,17
8a2f5a34c947fff,17
8a2f5a34138ffff,17
8a2f5a36162ffff,17
8a2f5a36325ffff,17
8a2f5a34c7a7fff,17
8a2f5a3622dffff,17
8a2f5a36aa6ffff,17
8a2f5a36360ffff,17
8a2f5a36a347fff,17
8a2f5a36b477fff,17
8a2f5a36accffff,17
8a2f5a341127fff,17
8a2f5a363697fff,17
8a2f5a34c50ffff,17
8a2f5a34c52ffff,17
8a2f5a36ac5ffff,17
8a2f5a34e94ffff,17
8a2f5a361657fff,17
8a2f5a36e127fff,17
8a2f5a34c857fff,17
8a2f5a36a8effff,17
8a2f5a36a567fff,17
8a2f5a36a857fff,17
8a2f5a36a667fff,17
8a2f5a363617fff,17
8a2f5a36bce7fff,17
8a2f5a34c61ffff,17
8a2f5a363197fff,17
8a2f5a3412d7fff,17
8a2f5a36e54ffff,17
