h3_10_id,ratio,hex
8a2f5a3458dffff,2,"POLYGON((139.635358866591 35.6943055720221, 139.635398931867 35.6949892064835, 139.634751268158 35.695373840099, 139.634063549901 35.6950748369447, 139.634023497497 35.6943912076758, 139.634671150478 35.6940065763688, 139.635358866591 35.6943055720221))"
8a2f5a363067fff,2.5,"POLYGON((139.649325614378 35.6810562602657, 139.649365807629 35.6817399311434, 139.648718216931 35.6821247186676, 139.648030443703 35.6818258330008, 139.647990263322 35.6811421673119, 139.648637843299 35.680757382101, 139.649325614378 35.6810562602657))"
8a2f5a34c0c7fff,3,"POLYGON((139.590072619695 35.7105782392359, 139.590112255649 35.7112617166857, 139.589464587344 35.7116459421717, 139.588777293825 35.7113466879124, 139.588737670737 35.7106632156665, 139.589385328301 35.710278992476, 139.590072619695 35.7105782392359))"
8a2f5a36aa77fff,4,"POLYGON((139.603326852439 35.6850359461062, 139.603366602962 35.6857194395133, 139.602719116438 35.6861038554946, 139.602031890122 35.6858047757669, 139.601992152459 35.6851212875595, 139.602639628252 35.68473687388, 139.603326852439 35.6850359461062))"
8a2f5a36e287fff,0.15625,"POLYGON((139.619832651293 35.6808918159607, 139.619872559208 35.681575369161, 139.619225058807 35.6819599277424, 139.618537661217 35.6816609308171, 139.618497766164 35.6809773828124, 139.619145255839 35.6805928265374, 139.619832651293 35.6808918159607))"
8a2f5a34584ffff,0.21875,"POLYGON((139.633783198917 35.6902894561584, 139.633823246794 35.6909730785418, 139.633175622713 35.6913577136081, 139.632487961483 35.6910587239825, 139.632447926475 35.6903751067919, 139.63309553983 35.689990474034, 139.633783198917 35.6902894561584))"
8a2f5a345bb7fff,0.25,"POLYGON((139.633903344811 35.6923403267526, 139.633943394952 35.6930239525796, 139.633295752697 35.6934085815784, 139.63260807103 35.6931095824418, 139.63256803376 35.6924259618077, 139.633215665287 35.6920413351172, 139.633903344811 35.6923403267526))"
8a2f5a34c787fff,0.25,"POLYGON((139.591764454395 35.7166446316378, 139.591804109939 35.7173281245668, 139.591156383792 35.7177123424566, 139.590469012843 35.7174130651224, 139.590429370167 35.7167295773972, 139.591077085572 35.7163453618025, 139.591764454395 35.7166446316378))"
8a2f5a3633affff,0.375,"POLYGON((139.645440085644 35.6833649022521, 139.645480242553 35.6840485610136, 139.644832643501 35.6844333104273, 139.644144898261 35.6841343987671, 139.644104754222 35.6834507451954, 139.644752342552 35.6830659980939, 139.645440085644 35.6833649022521))"
8a2f5a3616e7fff,0.375,"POLYGON((139.639984480279 35.6703345202661, 139.640024577412 35.6710181384007, 139.63937710791 35.6714028898002, 139.638689551995 35.6711040207526, 139.638649467727 35.6704204078085, 139.639296926509 35.6700356587214, 139.639984480279 35.6703345202661))"
8a2f5a36a85ffff,0.375,"POLYGON((139.610727782115 35.6855915627071, 139.610767604499 35.6862750864317, 139.610120090781 35.6866595581127, 139.609432765409 35.6863605037656, 139.609392955888 35.685676985239, 139.610040458877 35.6852925158615, 139.610727782115 35.6855915627071))"
8a2f5a3636a7fff,0.390625,"POLYGON((139.649321115715 35.6923798894983, 139.649361315026 35.6930635767417, 139.64871362601 35.6934483255936, 139.648025748407 35.69314938489, 139.647985561971 35.6924657028359, 139.648633240263 35.692080956296, 139.649321115715 35.6923798894983))"
8a2f5a3417b7fff,0.4375,"POLYGON((139.616885944928 35.7222479614063, 139.616925846477 35.7229315625206, 139.61627799569 35.7233159568034, 139.615590254093 35.7230167476714, 139.615550365421 35.7223331517552, 139.616198205469 35.7219487597729, 139.616885944928 35.7222479614063))"
8a2f5a36e00ffff,0.4375,"POLYGON((139.626994972178 35.6773448056008, 139.627034947456 35.6780283821905, 139.626387456243 35.6784130086104, 139.625700000476 35.6781140561322, 139.625660038062 35.6774304847364, 139.62630751855 35.6770458606249, 139.626994972178 35.6773448056008))"
8a2f5a36a56ffff,0.46875,"POLYGON((139.613995293348 35.6956738015611, 139.614035152717 35.6963573529028, 139.613387541564 35.6967418155729, 139.612700081773 35.6964427245982, 139.612660235269 35.6957591784541, 139.613307835691 35.6953747180871, 139.613995293348 35.6956738015611))"
8a2f5a36375ffff,0.5,"POLYGON((139.646409002169 35.6884494629077, 139.646449171189 35.6891331328841, 139.645801525069 35.6895178724883, 139.645113720651 35.6892189398043, 139.645073564503 35.6885352750176, 139.6457211999 35.6881505377252, 139.646409002169 35.6884494629077))"
8a2f5a3638cffff,0.5,"POLYGON((139.652483071888 35.6777648587931, 139.652523293908 35.6784485374609, 139.65187572229 35.6788333607785, 139.651187939371 35.6785345031138, 139.651147730222 35.6778508296338, 139.651795291121 35.6774660086308, 139.652483071888 35.6777648587931))"
